Target,count_hgnc_symbol_target,BLCATargetCount,BRCATargetCount,CESCTargetCount,COADTargetCount,ESCATargetCount,HNSCTargetCount,ACCTargetCount,KIRCTargetCount,KIRPTargetCount,LGGTargetCount,LIHCTargetCount,LUADTargetCount,LUSCTargetCount,PAADTargetCount,PCPGTargetCount,PRADTargetCount,SARCTargetCount,STADTargetCount,TGCTTargetCount,THCATargetCount,THYMTargetCount,UCECTargetCount,DLBCTargetCount,OVTargetCount,SKCMTargetCount,UVMTargetCount
PPP1R10,7,,,,,,,,,,7,,,,,,,,,,,,,,,,
USP42,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
IQSEC1,7,,,,,,,,,,,,,,,,,,5,2,,,,,,,
CYTH2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
LMNA,6,2,,,,,1,,,,,,,,,,,,3,,,,,,,,
NCS1,3,1,1,,,,,,,,1,,,,,,,,,,,,,,,,
SCARB1,3,,1,,,,,,,,1,,,,,,,,,,,1,,,,,
LFNG,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
WRN,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
ANKIB1,12,,,,,,,,,,7,,,,,,,1,4,,,,,,,,
CELSR3,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
MYO5B,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
SH2D3A,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
CCND2,23,1,,,,,,,,,10,,,,,,,,8,3,1,,,,,,
HTT,3,,1,,,,,,,,,,,,,,,,1,,,,,1,,,
KSR1,8,,3,,,,,,,,2,,,,,,,,2,1,,,,,,,
DMTF1,5,,1,,,,,,,,,,,,,,,,3,,1,,,,,,
JAK1,7,,,,,,,,,,6,,,,,,,1,,,,,,,,,
BRD7,3,,,,,,,,,,,,,,,2,,,,1,,,,,,,
FAS,3,,,,,,,,,,,,,,,,,,1,2,,,,,,,
IL12A,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,
NBN,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
PHF21A,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
POLI,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
UBE2H,11,2,,,,,1,,,,6,,,,,,,1,1,,,,,,,,
TNFRSF10B,24,6,,,,,,,,,9,,2,,,1,,,5,1,,,,,,,
CDC42EP3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
CASP8,4,,1,,,,,,,1,1,,,,,,,1,,,,,,,,,
SEMA3D,3,,1,,,,,,,,2,,,,,,,,,,,,,,,,
CDC25B,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
TPP2,2,,,,,,,,,,,,,,,,,,,2,,,,,,,
RFFL,3,,,,,,,,,,,,,,,,,,,1,,2,,,,,
GREB1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
RAPGEF1,11,1,3,,,,,,,,2,,,,,,,2,2,,,1,,,,,
VPS13D,53,6,1,,,,,,1,,1,,,,,,,17,26,1,,,,,,,
RAB11FIP1,14,2,2,,,,,,,,,,,,,,,1,,6,,3,,,,,
NEK7,34,2,,,,,,,,,13,1,,,,,,11,6,,,1,,,,,
PSAP,5,,4,,,,,,,,,,,,,,,,,1,,,,,,,
BTBD3,3,,,,,,,,,,,,,,,,,2,1,,,,,,,,
EHF,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
EEF1A1,7,1,,,,,,,,,,,,,,,,4,1,1,,,,,,,
HNRNPA2B1,4,1,,,,,,,,,3,,,,,,,,,,,,,,,,
TWIST1,7,,1,,,,,,,,,,,,,,,,1,,,5,,,,,
CD28,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
NME2,6,,,,,,,,,,1,,,,,,,,,5,,,,,,,
SEL1L,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
ZNF146,9,,,,,,,,,,7,,,,,,,1,,,1,,,,,,
ENTPD7,10,,,,,,,,,,10,,,,,,,,,,,,,,,,
VPS13B,31,,,,,,,,,,1,,1,,,,,3,22,4,,,,,,,
TNRC18,18,,,,,,,,,,,,,,,,,,,18,,,,,,,
IL5,2,,,,,,,,,,,,,,,,,,,,2,,,,,,
WIPF1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
ABT1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
NRAS,12,1,,,,,,,,,11,,,,,,,,,,,,,,,,
NCOA3,38,4,2,,,,1,,,,10,,,1,,,,,7,13,,,,,,,
IGF2BP1,8,1,2,,,,,,,,,,,,,,,2,1,2,,,,,,,
FTO,5,,,,,,,,,,1,,1,,,,,,,3,,,,,,,
GABPA,8,,,,,,,,,,,,,1,,,,,7,,,,,,,,
CELF1,15,,,,,,,,,,,,,,,,,1,14,,,,,,,,
MACROD2,3,,,,,,,,,,,,,,,,,,3,,,,,,,,
BNIP3L,20,1,,,,,,,,,2,,,,,,,16,,,,,1,,,,
BPTF,38,2,4,,,,,,,,10,,,,,,,5,3,10,,4,,,,,
SLC39A9,4,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,
MAML2,5,1,,,,,1,,,,,,1,,,,,2,,,,,,,,,
MEPCE,3,,1,,,,,,,1,1,,,,,,,,,,,,,,,,
HSPA1A,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
METTL1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
PTK2,9,,,,,,,,,,1,,,,,,,7,,,1,,,,,,
GATAD2A,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
BCOR,8,,,,,,,,,,6,,,,,,,,,1,,,1,,,,
IRF2BP2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
RFC2,5,,,,,,,,,,,,,,,,,,,5,,,,,,,
RFWD3,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
SMAD3,5,1,,,,,,,,,,,,,1,,,,3,,,,,,,,
BBC3,14,2,,,,,,,,,1,,,,,,,,3,2,,6,,,,,
IGF2,5,,1,,,,,,,,,,,,,1,,3,,,,,,,,,
CSK,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
SBF2,3,,,,,,,,,,2,1,,,,,,,,,,,,,,,
SIX5,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
PPP3CA,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
TNFRSF10D,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
TRIOBP,10,,,,,,,,,,,,,,,,,5,5,,,,,,,,
CYP19A1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
CRY2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
SYNGR2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
BCL6,17,2,2,,,,,,,,,,,,,,,13,,,,,,,,,
PTPN13,4,,,,1,,1,,,,,,,,,,,,1,,1,,,,,,
EPSTI1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
EGLN1,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
ZC3HAV1,2,,,,,,,,,,1,,,,,,,,,,,1,,,,,
CDT1,3,,,,,,,,,,1,,,,,,,,,,1,1,,,,,
ADD1,6,,,,,,,,,,,,,,,,,5,1,,,,,,,,
BRCA1,41,6,1,,,,,,,,22,,,,,,,11,,,,1,,,,,
KDM5A,82,2,,,,,,,,1,63,1,,,,,,4,10,1,,,,,,,
RFC4,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
ETV6,12,,,,,,,,,,1,,,1,,,,10,,,,,,,,,
EIF4A1,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
NPC1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
SLC25A28,10,,,,,,,,,,,,,,,,,1,9,,,,,,,,
ADAMTS2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
MBD1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
DLG1,4,,,,,,1,,,,,,,,,,,,2,,,1,,,,,
CHEK1,5,,,,,,,,,,1,,,,,,,4,,,,,,,,,
CSF1,6,,,,,,,,,,3,,1,,,,,,,1,,1,,,,,
ILK,3,,,,,,,,,,2,,,,,,,,,,,1,,,,,
VCP,3,,,,,,,,,,2,,,,,,,,,1,,,,,,,
ARF4,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
GLCE,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
RASSF2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
CXCL5,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
OAS2,14,3,,,,,,,,,,,,,,,,6,1,4,,,,,,,
SERPINB9,3,1,,,,,,,,,,,,,,,,,2,,,,,,,,
ATXN7,20,1,,,,,,,,,,,,,,,,8,10,,1,,,,,,
USP37,12,2,,,,,,,,,2,,,,,,,4,1,1,2,,,,,,
CALD1,25,,7,,,1,,,,,10,5,,,,,,,,,,,2,,,,
UTRN,40,,11,,,,2,,,,2,,3,,,,,13,5,4,,,,,,,
LHFPL2,13,,5,,,,,,,,1,,,,,,,,,6,1,,,,,,
CLDN12,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
LTF,4,,,,,,,,,,,,,,,,,4,,,,,,,,,
ANK3,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
ATP2A3,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
FRMD4B,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
PUM2,14,,,,,,,,,,,,,,,,,,14,,,,,,,,
NOTCH2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
ITPR1,7,2,,,,,1,,,,,,1,,,,,,2,1,,,,,,,
LTBP1,26,1,1,,,,,,,,,,,,,,,24,,,,,,,,,
NFE2L2,14,9,,,,,,,,,1,,,,,,,2,,2,,,,,,,
NOTCH1,4,1,,,,,,,,,,,,,,,,3,,,,,,,,,
SOCS3,10,2,2,,2,,,,,,1,,,,,,,,3,,,,,,,,
SYNE2,13,1,2,,,,,,,,3,2,1,,,,,1,1,,,2,,,,,
PLCL2,3,,1,,,,,,,,,,1,,,,,,1,,,,,,,,
RALGAPA2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
LRRFIP1,9,,,,,,1,,,,,,,,,,,,7,1,,,,,,,
SVIL,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
CHD6,2,,,,,,,,,,1,,,,,,,,1,,,,,,,,
RIDA,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
SBNO2,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
SAFB,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
MMP14,8,,5,,,,,,,,3,,,,,,,,,,,,,,,,
ERCC6,17,,,,,,,,,,17,,,,,,,,,,,,,,,,
TOR1B,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
DCK,7,2,,,,,,,,,,,,,,,,5,,,,,,,,,
EEF2,7,4,,,,,1,,,,,,2,,,,,,,,,,,,,,
CELSR1,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,
NDRG1,7,2,,,,,,,,,3,,,,,,,,,,2,,,,,,
TNC,38,,2,,,,,,,1,25,,,1,,,,1,1,5,,2,,,,,
SPATS2L,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
FXN,2,,,,,,1,,,,1,,,,,,,,,,,,,,,,
KLC1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
ADNP,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
SOD1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
TMEM131L,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,
BCL11A,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,
GNA13,7,,,,,,,,,,,,,,,,,,6,1,,,,,,,
ZNF566,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
ITGA6,3,1,,,,,1,,,,,,,1,,,,,,,,,,,,,
MBNL1,21,8,,,,,,,,,2,,,,,,,,5,4,,2,,,,,
TGFBR3,6,2,,,2,,,,,,,,,,,,,2,,,,,,,,,
PISD,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
RAD51,32,,,,,,,,,1,31,,,,,,,,,,,,,,,,
ISYNA1,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
PPP1R15B,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
TUBA1B,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
COL3A1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
AFAP1,12,3,,,,,,,,,,,,,,,,6,,3,,,,,,,
TNFSF14,5,,1,,,,,,,,1,,,,,,,1,2,,,,,,,,
NEDD9,21,,,,,,,,,,17,,,,,,,2,,1,1,,,,,,
PCM1,10,,,,,,,,,,3,,,,,,1,,6,,,,,,,,
PPP2R5C,16,,,,,,,,,,6,,,,,,,,8,2,,,,,,,
GPATCH2L,7,,,,,,,,,,6,,1,,,,,,,,,,,,,,
CKAP2L,10,,,,,,,,,,9,,,,,,,,,,,1,,,,,
GIT1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
IMPACT,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
UST,2,,,,,,,,,,,,,,,,,,1,,,,1,,,,
CLIP1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
RRM2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
UBE3C,4,1,,,,,,,,,,,1,,,,,,,2,,,,,,,
PIP4K2A,10,,4,,,,,,,,1,,3,,,,,2,,,,,,,,,
THBS1,17,,2,,,2,,,,,,,,,,,,12,,1,,,,,,,
DYRK1A,28,,,,,,1,,,,1,,,,,,,2,20,,,4,,,,,
ZNF510,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
ANPEP,3,,,,,,,,,,2,,,,,,,,1,,,,,,,,
FOXC1,17,,,,,,,,,,2,,,,,,,15,,,,,,,,,
ITGB3,6,,,,,,,,,,3,,,,,,,,,3,,,,,,,
BRD4,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
UBP1,3,,,,,,,,,,,,,,,,,3,,,,,,,,,
LIPC,3,,,,,,,,,,,,,,,,,,,3,,,,,,,
SMC2,3,,,,,,,,,,,,,,,,,,,,,3,,,,,
GLI1,2,1,,,,,,,,,,,,,,,,,1,,,,,,,,
ST6GAL1,9,2,1,,,,,,,,,,,,,,,6,,,,,,,,,
DOCK9,3,1,,,,,,,,,,,,,,,,,1,1,,,,,,,
PHTF2,14,1,,,,,,,1,,,,,,,,,4,8,,,,,,,,
CIC,2,,,,,,,,,1,,,,,,,,,,,,,1,,,,
HSPA5,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
NID1,10,,,,,,,,,,10,,,,,,,,,,,,,,,,
ENO1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
KLHL8,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
ERCC1,3,,,,,,,,,,,,,,,,,,1,2,,,,,,,
HNRNPH1,4,1,,,,,,,,,1,,,,,,,2,,,,,,,,,
SRM,4,2,,,,,,,,,2,,,,,,,,,,,,,,,,
PBX1,10,,2,,,,,,,,8,,,,,,,,,,,,,,,,
MICB,9,,,,,,2,,,,2,,,,,,,,,,,5,,,,,
AP3D1,12,,,,,,,,,,2,,,,1,,,1,1,7,,,,,,,
ATP2A2,9,3,,,,,,,,,,,,,,,,2,,4,,,,,,,
MCM7,5,1,,,,,,,,,,,,,,,,,,1,,3,,,,,
NCL,13,1,,,,,2,,,,1,,,,,,,1,,4,1,3,,,,,
TLR4,6,2,,,,,,,,,2,,,,,,,,,,2,,,,,,
PSMG1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
PRDX3,3,2,,,,,,,,1,,,,,,,,,,,,,,,,,
CYP1B1,20,,2,1,,,,,,,,,,,,,,4,,12,,1,,,,,
MAP4K4,21,,,,,,1,,,,20,,,,,,,,,,,,,,,,
ZNF512B,4,,,,,,,,,,4,,,,,,,,,,,,,,,,
JAK2,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
SPRED2,2,,,,,,,,,,,,,,,,,,,1,,1,,,,,
EP300,8,1,1,,,,,,,,4,,,,,,,,,,,2,,,,,
PTEN,17,4,,,,,,,,,2,1,,,,,,,,9,,1,,,,,
RPS15,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
XPC,3,,,,,,,,,,2,,,,,,,,1,,,,,,,,
EZR,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
GNAL,3,,,,,,,,,,,,,,,,,,,3,,,,,,,
SMARCA2,14,4,1,,2,,,,,,,,,,,,,1,6,,,,,,,,
SQSTM1,34,5,1,,,,2,,,,,,,,,,,10,4,10,1,1,,,,,
CBX5,16,5,,,,,,,,,10,,,,,,,,,,,1,,,,,
FRYL,5,1,,,,,,,,,1,,,,,,,,2,,,1,,,,,
SERINC2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
PPARG,3,,1,,,,,,,,1,,1,,,,,,,,,,,,,,
SRPK2,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,
CD9,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
IL2RB,34,,,,,,,,,,33,,,,,,,,1,,,,,,,,
IKZF2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
CASZ1,4,,,,,,,,,,4,,,,,,,,,,,,,,,,
ACSL3,3,,,,,,,,,,,,,,,,,2,,1,,,,,,,
RAI1,4,,,,,,,,,,,,,,,,,3,,,1,,,,,,
PIEZO1,4,,,,,,,,,,,,,,,,,,4,,,,,,,,
ALOX5AP,2,,,,,,,,,,,,,,,,,,,2,,,,,,,
ZCCHC9,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
STAT5A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
BBX,12,7,1,,,,,,,,4,,,,,,,,,,,,,,,,
REV1,6,,1,,,,,,,,,,,,,,,,4,1,,,,,,,
RO60,2,,,,,,,,,,1,,,,,,,,1,,,,,,,,
RAPGEF5,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
GLS,3,,,,,,,,,,,,,,,,,2,1,,,,,,,,
TNFAIP8L1,6,,,,,,,,,,,,,,,,,,6,,,,,,,,
SOCS5,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
TBXAS1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
BCL2,54,7,2,,2,,3,,,,13,,,,,,8,2,10,5,,,,,,2,
ZEB1,9,,2,,,,,,,,,,,,,,,6,,,1,,,,,,
TNFRSF10A,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
CAV1,5,,,,,,,,,,5,,,,,,,,,,,,,,,,
GSK3B,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
PLCG1,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
ZNF521,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
STAT6,2,,,,,,,,,,,2,,,,,,,,,,,,,,,
SLC2A1,4,,,,,,,,,,,,,,,,1,1,2,,,,,,,,
RAD21,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
RASAL2,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
ADGRL2,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
BID,2,,,,,,,,,,,,,,,,,,,2,,,,,,,
CEBPA,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
CCL5,3,,,,,,,,,,,,,,,,,,,2,1,,,,,,
CD226,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
CLEC16A,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
LAMC1,18,1,,,,,,,,,2,,,,1,,,6,8,,,,,,,,
ABCB1,14,4,3,,,,,,,,,,,,,,,2,,5,,,,,,,
UBR4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
FN1,74,,3,,1,,,,,,64,,,,,,,2,3,,,1,,,,,
HMGCS1,2,,,,,,,,,,,1,,,,,,,,,1,,,,,,
ERG,9,,,,,,,,,,,,1,,,,,5,,,,3,,,,,
GABBR2,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
ESD,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
AKAP13,4,,4,,,,,,,,,,,,,,,,,,,,,,,,
SLAMF7,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
MAFK,7,,,,,,,,,,,,,,,,,6,1,,,,,,,,
ARMC8,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
PLCB1,30,,,,,,,,,,,,,,,,,,30,,,,,,,,
TRIM2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
XIAP,40,1,1,,,,4,,,,29,,,,,,,,2,2,1,,,,,,
EEA1,34,3,,,,1,,,,,1,,,,,,,15,14,,,,,,,,
SPEN,12,1,,,,,,,,,9,,,,,,,2,,,,,,,,,
CACNA2D3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
RCC1,5,,,,,,,,,,3,,,,,,,,,2,,,,,,,
LASP1,4,,,,,,,,,,4,,,,,,,,,,,,,,,,
VAV2,2,,,,,,,,,,1,,,,,,,,,,1,,,,,,
UBC,3,,,,,,,,,,,,1,,,,,2,,,,,,,,,
TBC1D16,3,,,,,,,,,,,,,,,,,,3,,,,,,,,
DST,50,2,11,,1,,1,,,1,4,,1,,,,2,5,1,20,,,1,,,,
MMP2,9,1,4,,,,,,,,,,,,,,,,,,,4,,,,,
PFKFB3,17,,2,,4,,,,,,10,,,,,,,,,1,,,,,,,
IRF2,8,,,,,,,,,1,,,,,,,,6,,1,,,,,,,
PPARA,6,,,,,,,,,,,,,,,,,5,,1,,,,,,,
CIDEB,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
GCLC,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,1
PER1,3,1,,,,,,,,,,,,,,,,,1,,1,,,,,,
HBP1,28,3,,,,,,,,,18,,,,,,,5,1,,1,,,,,,
TFAP2A,23,,9,,,,,,,,13,,,,,,,,,1,,,,,,,
HMCN1,9,,8,,,,,,,,,,,,,,,1,,,,,,,,,
PRR11,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
MIB1,6,,,,,,,,,,6,,,,,,,,,,,,,,,,
NME1,2,,,,,,,,,,,,,,,,,,,2,,,,,,,
SLC38A1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
PLXNA2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
RORA,39,2,10,1,,,1,,,,10,,1,,,,,7,,1,,6,,,,,
KATNAL1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
UBR5,14,,,,,,1,,,,3,,,,,,,,7,,,3,,,,,
PIGR,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
MYO1C,5,,,,,,,,,,,1,,,1,,,1,,2,,,,,,,
IL21R,3,,,,,,,,,,,,,,,,,,3,,,,,,,,
EDNRB,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
ROCK2,9,,,,,,,,,,,,,,,,,,9,,,,,,,,
HDAC4,4,,,,,,,,,,,,,,,,,,,4,,,,,,,
PARP9,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
NAP1L1,13,2,,,,,,,,,,,,,,,,1,,10,,,,,,,
TBC1D1,2,1,,,,,,,,,,,,,,,,,,,,1,,,,,
AGPAT3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
SYNJ2,11,,1,,,,,,,,,,1,,,,,4,,,,5,,,,,
CLUH,26,,1,,,,,,,,1,,,,,,,,,24,,,,,,,
ANKRD44,10,,1,,,,,,,,3,,,,,,,,4,1,,,,,1,,
CLIP4,5,,,,,,1,,,,,,,,,,,,,,,4,,,,,
EXT1,11,,,,,,,,,,11,,,,,,,,,,,,,,,,
HNRNPL,3,,,,,,,,,,2,,,,,,,,,,,1,,,,,
RIGI,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
TM9SF3,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
CABIN1,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
COQ10B,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
PKDCC,4,2,,,,,,,,,,,,,,,,,1,1,,,,,,,
PARP15,4,3,,,,,,,,,,,,,,,,,1,,,,,,,,
ZNF227,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
HMGA2,6,,4,,,,,,,,,,,,2,,,,,,,,,,,,
AKAP1,4,,2,,,,,,,,2,,,,,,,,,,,,,,,,
ZFAT,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
TRIAP1,6,,,,,,,,,,3,,,,,,,,,,,3,,,,,
NUP210,2,,,,,,,,,,,,,,,,1,1,,,,,,,,,
ARHGAP29,2,,,,,,,,,,,,,,,,,,1,1,,,,,,,
NOLC1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
AMD1,5,3,,,,,,,,,,,1,,,,,,,,,1,,,,,
ZFHX3,22,1,5,,,,,,,,13,1,,,,,,2,,,,,,,,,
LBR,35,23,,,,,,,,,1,6,,,3,,,,1,1,,,,,,,
PTK6,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,
NIN,19,1,1,,,,,,,,3,,,,,,,6,7,1,,,,,,,
CYBRD1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
STARD13,2,1,,,,,,,,,,,,,,,,,,,,1,,,,,
ARHGEF19,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
RREB1,4,,1,,,,,,,,3,,,,,,,,,,,,,,,,
SEC22C,11,,,,,,1,,,,,,,,,,,6,,4,,,,,,,
GFAP,3,,,,,,,,,,,,,,,,,,3,,,,,,,,
ITGA2,18,5,,,,,,,,,2,,,,,,,,11,,,,,,,,
JUNB,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,
VDR,11,3,,,,,,,,,,,,,,,,,,8,,,,,,,
H2BC21,3,,3,,,,,,,,,,,,,,,,,,,,,,,,
SOS1,10,,,,,,1,,,,,,,,,,,,8,1,,,,,,,
MCM2,7,,,,,,,,,,7,,,,,,,,,,,,,,,,
PKMYT1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
BTG3,4,,,,,,,,,,4,,,,,,,,,,,,,,,,
FBXO28,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
CSTB,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
ESR2,7,,,,,,,,,,,,,,,,,6,1,,,,,,,,
APEX1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
GNA12,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1
COMT,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
UBE2L3,3,,,,,,,,,,,,,,,,,,,,,3,,,,,
CCNB1,8,4,,,,,,,,,3,,,,,,,1,,,,,,,,,
EPS8,14,1,,,,,,,,,3,,,,,,,6,,,,4,,,,,
ITSN1,9,4,2,,,,,,,,,,1,,,,,1,,1,,,,,,,
MIDEAS,20,,2,,,,,,,,14,,,,,,,,2,1,1,,,,,,
LAMP1,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
SORL1,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
PTAFR,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
PTPRF,8,,,,,,,,,,,,,,,,,,,8,,,,,,,
TET3,24,3,,,,,,,,,5,,,,,,1,1,,11,3,,,,,,
EGF,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
ATF6,7,,2,,,,,,,,2,,,,,,,3,,,,,,,,,
ADCY7,2,,,,,,,,,,1,,,,,,,1,,,,,,,,,
DDX5,10,,,,,,,,,,9,1,,,,,,,,,,,,,,,
SMC4,12,,,,,,,,,,10,,,,,,,1,,,1,,,,,,
NANP,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
ABR,3,,,,,,,,,,,,,,,,,1,2,,,,,,,,
ARID4A,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
CABLES1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
RAPGEF2,17,,,,1,,,,,,,,,,,,,,16,,,,,,,,
CCL2,31,,,,,,,,,,15,,,,,,,10,2,4,,,,,,,
ALDH9A1,2,,,,,,,,,,,,1,,,,,,,,,,,,1,,
